Date,"ETF Net Asset (Total)","Shares Outstanding","Net Asset Value (per Share)","ETF Dividend (per Share)","Total Return","ETF Net Asset Value (per Share) (Dividend-included)","Percent of Stocks in ETF","Percent of Bonds in ETF","Percent of REITs in ETF","Percent of Futures in ETF"
20010709,73457000000,,12242.9,0,,12242.9,,,,
20010710,73820000000,,12303.3,0,0.00493347164479,12303.3,,,,
20010711,72049000000,,12008.1,0,-0.02399356270269,12008.1,,,,
20010712,74465000000,,12410.8,0,0.033535696738035,12410.8,,,,
20010713,78121000000,,12357.9,0,-0.004262416604893,12357.9,,,,
20010716,78044817103,,12345.9,0,-0.000971038768723,12345.9,,,,
20010717,76687000000,,12131.1,0,-0.017398488567055,12131.1,,,,
20010718,75194000000,,11894.9,0,-0.01947061684431,11894.9,,,,
20010719,172305000000,,11910.4,0,0.001303079471033,11910.4,,,,
20010723,167977000000,,11611.3,0,-0.025112506716819,11611.3,,,,
20010724,171934753823,,11884.8,0,0.023554640737901,11884.8,,,,
20010725,172055000000,,11893.1,0,0.00069837102854,11893.1,,,,
20010726,171575000000,,11860,0,-0.002783126350573,11860,,,,
20010727,170700000000,,11799.5,0,-0.005101180438449,11799.5,,,,
20010730,167531000000,,11580.4,0,-0.018568583414552,11580.4,,,,
20010731,171603000000,,11861.9,0,0.024308314047874,11861.9,,,,
20010801,173028000000,,11960.4,0,0.008303897352026,11960.4,,,,
20010802,179657000000,,12400.2,0,0.036771345439951,12400.2,,,,
20010803,177377000000,,12242.8,0,-0.012693343655748,12242.8,,,,
20010806,177402000000,,12244.6,0,0.000147025190316,12244.6,,,,
20010807,178495000000,,12320,0,0.006157816506868,12320,,,,
20010808,176237000000,,12164.2,0,-0.012646103896104,12164.2,,,,
20010809,170308000000,,11755,0,-0.033639696815245,11755,,,,
20010810,170026000000,,11735.5,0,-0.001658868566568,11735.5,,,,
20010813,166292000000,,11477.7,0,-0.021967534404159,11477.7,,,,
20010814,172671000000,,11918,0,0.038361344171741,11918,,,,
20010815,170314000000,,11755.3,0,-0.013651619399229,11755.3,,,,
20010816,166831000000,,11514.9,0,-0.020450350054869,11514.9,,,,
20010817,165823000000,,11445.4,0,-0.00603565814727,11445.4,,,,
20010820,163102000000,,11257.6,0,-0.016408338721233,11257.6,,,,
20010821,163427000000,,11280,0,0.001989766913018,11280,,,,
20010822,165106000000,,11395.9,0,0.010274822695035,11395.9,,,,
20010823,161201000000,,11126.3,0,-0.023657631253346,11126.3,,,,
20010824,161771000000,,11165.7,0,0.003541159235325,11165.7,,,,
20010827,163583000000,,11274.1,0,0.009708303106836,11274.1,,,,
20010828,162362000000,,11190,0,-0.007459575487179,11190,,,,
20010829,159320000000,,10980.3,0,-0.018739946380698,10980.3,,,,
20010830,158718000000,,10938.8,0,-0.003779496006485,10938.8,,,,
20010831,155454000000,,10713.8,0,-0.020568983800783,10713.8,,,,
20010903,151043000000,,10409.9,0,-0.028365285892961,10409.9,,,,
20010904,156307000000,,10772.6,0,0.034841833254882,10772.6,,,,
20010905,153786000000,,10598.8,0,-0.016133523940368,10598.8,,,,
20010906,154532000000,,10650.3,0,0.00485904064611,10650.3,,,,
20010907,133485000000,,10516.7,0,-0.012544247579881,10516.7,,,,
20010910,129409000000,,10195.5,0,-0.030541900025674,10195.5,,,,
20010911,130642000000,,10292.7,0,0.009533617772546,10292.7,,,,
20010912,121967000000,,9609.2,0,-0.066406287951656,9609.2,,,,
20010913,122014000000,,9613,0,0.000395454356241,9613,,,,
20010914,127249000000,,10008.5,0,0.04114220326641,10008.5,,,,
20010917,120834000000,,9504,0,-0.050407153919169,9504,,,,
20010918,123067000000,,9679.6,0,0.018476430976431,9679.6,,,,
20010919,126365000000,,9939,0,0.026798628042481,9939,,,,
20010920,124400000000,,9784.4,0,-0.015554884797264,9784.4,,,,
20010921,121474805258,,9554.3,0,-0.023517027104371,9554.3,,,,
20010925,123599000000,,9721.4,0,0.017489507342243,9721.4,,,,
20010926,122933000000,,9669,0,-0.005390170140104,9669,,,,
20010927,123629000000,,9723.8,0,0.005667597476471,9723.8,,,,
20010928,124623000000,,9801.9,0,0.008031839404348,9801.9,,,,
20011001,127159000000,,10001.5,0,0.02036339893286,10001.5,,,,
20011002,129247000000,,10165.6,0,0.016407538869169,10165.6,,,,
20011003,126547000000,,9953.3,0,-0.020884158337925,9953.3,,,,
20011004,130121000000,,10234.4,0,0.028241889624546,10234.4,,,,
20011005,130124944390,,10234.7,0,0.000029312905495,10234.7,,,,
20011009,127654000000,,10040.4,0,-0.018984435303429,10040.4,,,,
20011010,127058000000,,9993.5,0,-0.004671128640294,9993.5,,,,
20011011,131914635926,,10375.5,0,0.038224846149997,10375.5,,,,
20011012,135539000000,,10660.6,0,0.027478193821984,10660.6,,,,
20011015,133250000000,,10480.5,0,-0.016893983453089,10480.5,,,,
20011016,135604000000,,10665.6,0,0.01766137111779,10665.6,,,,
20011017,137098000000,,10783.2,0,0.011026102610261,10783.2,,,,
20011018,133529000000,,10502.4,0,-0.026040507456043,10502.4,,,,
20011019,134340000000,,10566.3,0,0.00608432358318,10566.3,,,,
20011022,134676000000,,10592.7,0,0.002498509411998,10592.7,,,,
20011023,138440000000,,10888.7,0,0.02794377259811,10888.7,,,,
20011024,137684000000,,10829.2,0,-0.00546438050456,10829.2,,,,
20011025,138673000000,,10907,0,0.007184279540501,10907,,,,
20011026,137592000000,,10822,0,-0.007793160355735,10822,,,,
20011029,135264000000,,10638.9,0,-0.016919238588062,10638.9,,,,
20011030,133998000000,,10539.3,0,-0.009361870118152,10539.3,,,,
20011031,132136000000,,10392.8,0,-0.013900353913448,10392.8,,,,
20011101,131893000000,,10373.7,0,-0.001837810792087,10373.7,,,,
20011102,132356000000,,10410.1,0,0.003508873401004,10410.1,,,,
20011105,133163000000,,10473.7,0,0.006109451398161,10473.7,,,,
20011106,135529000000,,10659.8,0,0.017768314922138,10659.8,,,,
20011107,131096000000,,10311,0,-0.03272106418507,10311,,,,
20011108,132961000000,,10457.7,0,0.014227524003491,10457.7,,,,
20011109,130210000000,,10241.4,0,-0.020683324249118,10241.4,,,,
20011112,128503000000,,10107.1,0,-0.013113441521667,10107.1,,,,
20011113,127854000000,,10056.1,0,-0.005045957792048,10056.1,,,,
20011114,128567000000,,10112.2,0,0.005578703473513,10112.2,,,,
20011115,133693000000,,10515.3,0,0.039862740056565,10515.3,,,,
20011116,135714947790,,10674.4,0,0.01513033389442,10674.4,,,,
20011119,136714722985,,10753,0,0.007363411526643,10753,,,,
20011120,134778000000,,10600.7,0,-0.014163489258812,10600.7,,,,
20011121,135862000000,,10685.9,0,0.008037205090229,10685.9,,,,
20011122,136315000000,,10721.6,0,0.00334085102799,10721.6,,,,
20011126,137616000000,,11088.9,0,0.034257946575138,11088.9,,,,
20011127,136191000000,,10974.1,0,-0.01035269503738,10974.1,,,,
20011128,132116000000,,10645.8,0,-0.029915892875043,10645.8,,,,
20011129,132484000000,,10675.4,0,0.002780439234252,10675.4,,,,
20011130,132997000000,,10716.7,0,0.003868707495737,10716.7,,,,
20011203,128948000000,,10390.5,0,-0.030438474530406,10390.5,,,,
20011204,129965000000,,10472.4,0,0.007882200086617,10472.4,,,,
20011205,133201000000,,10733.2,0,0.024903556013903,10733.2,,,,
20011206,134981000000,,10876.6,0,0.013360414415085,10876.6,,,,
20011207,134164000000,,10810.8,0,-0.006049684644099,10810.8,,,,
20011210,131381000000,,10586.5,0,-0.020747770747771,10586.5,,,,
20011211,130180000000,,10489.8,0,-0.009134274783923,10489.8,,,,
20011212,134242000000,,10817,0,0.031192205761787,10817,,,,
20011213,129681000000,,10449.5,0,-0.033974299713415,10449.5,,,,
20011214,130649000000,,10527.6,0,0.007474041820182,10527.6,,,,
20011217,128314000000,,10339.4,0,-0.017876819028079,10339.4,,,,
20011218,129662000000,,10448,0,0.010503510842021,10448,,,,
20011219,130153000000,,10487.6,0,0.003790199081163,10487.6,,,,
20011220,129689000000,,10450.2,0,-0.003566116175293,10450.2,,,,
20011221,121638000000,,10351.1,0,-0.009483072094314,10351.1,,,,
20011225,120717000000,,10272.7,0,-0.007574074252978,10272.7,,,,
20011226,119986000000,,10210.5,0,-0.006054883331549,10210.5,,,,
20011227,123094000000,,10475,0,0.025904705939963,10475,,,,
20011228,124090000000,,10559.7,0,0.008085918854415,10559.7,,,,
20020104,127939527641,,10887.3,0,0.031023608625244,10887.3,,,,
20020107,128769802678,,10958,0,0.006493804708238,10958,,,,
20020108,125875172277,,10711.7,0,-0.02247672933017,10711.7,,,,
20020109,125503830417,,10680.1,0,-0.002950045277594,10680.1,,,,
20020110,122871747595,,10554.7,0,-0.011741463094915,10554.7,,,,
20020111,121746265996,,10458.1,0,-0.009152320767052,10458.1,,,,
20020115,119031241183,,10224.8,0,-0.022308067430987,10224.8,,,,
20020116,118676807424,,10194.4,0,-0.002973163289258,10194.4,,,,
20020117,118102340229,,10145,0,-0.004845797692851,10145,,,,
20020118,120020185141,,10309.8,0,0.016244455396747,10309.8,,,,
20020121,119866879955,,10296.6,0,-0.001280335215038,10296.6,,,,
20020122,117202970767,,10067.8,0,-0.02222092729639,10067.8,,,,
20020123,117085594047,,10057.7,0,-0.001003198315422,10057.7,,,,
20020124,117469896132,,10090.7,0,0.003281068236276,10090.7,,,,
20020125,118283794539,,10160.6,0,0.006927170562993,10160.6,,,,
20020128,119189551628,,10238.4,0,0.00765702812826,10238.4,,,,
20020129,116925890528,,10044,0,-0.018987341772152,10044,,,,
20020130,115687546441,,9937.6,0,-0.010593389088013,9937.6,,,,
20020131,116596892279,,10015.7,0,0.007859040412171,10015.7,,,,
20020201,114199397845,,9809.8,0,-0.020557724372735,9809.8,,,,
20020204,112345056459,,9650.5,0,-0.016238863177639,9650.5,,,,
20020205,110528521826,,9494.5,0,-0.016164965545827,9494.5,,,,
20020206,109892015960,,9439.8,0,-0.005761230185898,9439.8,,,,
20020207,111778261914,,9601.8,0,0.017161380537723,9601.8,,,,
20020208,112971763822,,9704.3,0,0.010675081755504,9704.3,,,,
20020212,115199306922,,9895.7,0,0.019723215481796,9895.7,,,,
20020213,116248487336,,9985.8,0,0.009104964782683,9985.8,,,,
20020214,117557544943,,10098.3,0,0.011265997716757,10098.3,,,,
20020215,117184283511,,10066.2,0,-0.003178752859392,10066.2,,,,
20020218,117707375737,,10111.1,0,0.004460471677494,10111.1,,,,
20020219,114848289573,,9865.5,0,-0.024290136582568,9865.5,,,,
20020220,114696429884,,9852.5,0,-0.001317723379454,9852.5,,,,
20020221,117797305027,,10312.7,0,0.046708957117482,10312.7,,,,
20020222,118496022235,,10373.9,0,0.005934430362562,10373.9,,,,
20020225,117825291243,,10315.1,0,-0.005668070831607,10315.1,,,,
20020226,116755543828,,10221.5,0,-0.009074075869357,10221.5,,,,
20020227,120978419376,,10591.2,0,0.036168859756395,10591.2,,,,
20020228,121144544337,,10605.7,0,0.001369061107334,10605.7,,,,
20020301,123698507458,,10829.3,0,0.021083002536371,10829.3,,,,
20020304,383246244962,,11466.1,0,0.058803431431394,11466.1,,,,
20020305,379827725923,,11363.8,0,-0.008921952538353,11363.8,,,,
20020306,371936434950,,11374.2,0,0.000915186821309,11374.2,,,,
20020307,381410446545,,11663.9,0,0.02546992315943,11663.9,,,,
20020308,389174323120,,11901.3,0,0.020353398091547,11901.3,,,,
20020311,390264035570,,11934.6,0,0.002798013662373,11934.6,,,,
20020312,380060047007,,11622.6,0,-0.026142476496909,11622.6,,,,
20020313,373777760124,,11430.5,0,-0.016528143444669,11430.5,,,,
20020314,378795346873,,11583.9,0,0.013420235335287,11583.9,,,,
20020315,381383301512,,11663.1,0,0.006837075596301,11663.1,,,,
20020318,376486675900,,11513.3,0,-0.012843926571838,11513.3,,,,
20020319,386112325189,,11807.7,0,0.025570427245012,11807.7,,,,
20020320,377411569881,,11541.6,0,-0.022536141670266,11541.6,,,,
20020322,371466509430,,11359.8,0,-0.015751715533375,11359.8,,,,
20020325,368719208103,,11275.8,0,-0.007394496381979,11275.8,,,,
20020326,368194452269,,11259.7,0,-0.001427836605829,11259.7,,,,
20020327,371978147111,,11375.4,0,0.010275584607049,11375.4,,,,
20020328,372285252468,,11384.8,0,0.000826344568103,11384.8,,,,
20020329,362215789591,,11076.9,0,-0.027044831705432,11076.9,,,,
20020401,362333115852,,11080.5,0,0.000325000677084,11080.5,,,,
20020402,368081969575,,11256.3,0,0.015865710031135,11256.3,,,,
20020403,374496561569,,11452.5,0,0.017430239066123,11452.5,,,,
20020404,373787849956,,11430.8,0,-0.001894782798516,11430.8,,,,
20020405,372357118199,,11387,0,-0.003831752808203,11387,,,,
20020408,372921472558,,11404.3,0,0.001519276367787,11404.3,,,,
20020409,365124893790,,11165.9,0,-0.02090439571039,11165.9,,,,
20020410,368526992101,,11269.9,0,0.009314072309442,11269.9,,,,
20020411,366193667220,,11198.6,0,-0.006326586748774,11198.6,,,,
20020412,360166643350,,11014.2,0,-0.016466344007287,11014.2,,,,
20020415,365862001296,,11188.4,0,0.015815946687003,11188.4,,,,
20020416,372705672339,,11397.7,0,0.018706874977655,11397.7,,,,
20020417,379146953013,,11594.7,0,0.017284188915307,11594.7,,,,
20020418,380188334386,,11626.5,0,0.002742632409635,11626.5,,,,
20020419,378103338711,,11562.8,0,-0.005478862942416,11562.8,,,,
20020422,379798137777,,11772.2,0,0.018109800394368,11772.2,,,,
20020423,380286811341,,11787.4,0,0.001291177519919,11787.4,,,,
20020424,378222440442,,11723.4,0,-0.005429526443491,11723.4,,,,
20020425,377441759738,,11699.2,0,-0.00206424757323,11699.2,,,,
20020426,373978123409,,11591.8,0,-0.00918011487965,11591.8,,,,
20020430,379978537159,,11542.8,0,-0.004227126071879,11542.8,,,,
20020501,381960207246,,11603,0,0.005215372353328,11603,,,,
20020502,381895887657,,11601.1,0,-0.000163750754116,11601.1,,,,
20020507,374154464172,,11365.9,0,-0.020273939540217,11365.9,,,,
20020508,380890988257,,11570.5,0,0.018001214158139,11570.5,,,,
20020509,384593381329,,11683,0,0.00972300246316,11683,,,,
20020510,381229334487,,11580.8,0,-0.008747753145597,11580.8,,,,
20020513,374833738692,,11386.5,0,-0.016777770102239,11386.5,,,,
20020514,375465664576,,11405.7,0,0.00168620735081,11405.7,,,,
20020515,384901357658,,11692.4,0,0.025136554529752,11692.4,,,,
