,,T1332,T1333,T1605,T1721,T1801,T1802,T1803,T1808,T1812,T1925,T1928,T1963,T2002,T2269,T2282,T2413,T2432,T2501,T2502,T2503,T2531,T2768,T2801,T2802,T2871,T2914,T3086,T3099,T3101,T3103,T3289,T3382,T3401,T3402,T3405,T3407,T3436,T3659,T3861,T3863,T4004,T4005,T4021,T4042,T4043,T4061,T4063,T4151,T4183,T4188,T4208,T4324,T4452,T4502,T4503,T4506,T4507,T4519,T4523,T4543,T4568,T4578,T4631,T4689,T4704,T4751,T4755,T4901,T4902,T4911,T5019,T5020,T5101,T5108,T5201,T5202,T5214,T5232,T5233,T5301,T5332,T5333,T5401,T5406,T5411,T5541,T5631,T5703,T5706,T5707,T5711,T5713,T5714,T5801,T5802,T5803,T6098,T6103,T6113,T6178,T6301,T6302,T6305,T6326,T6361,T6367,T6471,T6472,T6473,T6479,T6501,T6503,T6504,T6506,T6645,T6674,T6701,T6702,T6703,T6724,T6752,T6753,T6758,T6762,T6770,T6841,T6857,T6861,T6902,T6952,T6954,T6971,T6976,T6981,T6988,T7003,T7004,T7011,T7012,T7013,T7186,T7201,T7202,T7203,T7205,T7211,T7261,T7267,T7269,T7270,T7272,T7731,T7733,T7735,T7751,T7752,T7762,T7832,T7911,T7912,T7951,T7974,T8001,T8002,T8015,T8031,T8035,T8053,T8058,T8233,T8252,T8253,T8267,T8304,T8306,T8308,T8309,T8316,T8331,T8354,T8355,T8411,T8591,T8601,T8604,T8628,T8630,T8697,T8725,T8750,T8766,T8795,T8801,T8802,T8804,T8830,T9001,T9005,T9007,T9008,T9009,T9020,T9021,T9022,T9064,T9101,T9104,T9107,T9202,T9301,T9432,T9433,T9501,T9502,T9503,T9531,T9532,T9602,T9613,T9735,T9766,T9983,T9984
,,NIPPON SUISAN,MARUHA NICHIRO,INPEX,COMSYS HOLDINGS,TAISEI,OBAYASHI,SHIMIZU,HASEKO,KAJIMA,DAIWA HOUSE INDUSTRY,SEKISUI HOUSE,JGC HOLDINGS,NISSHIN SEIFUN GROUP,MEIJI HOLDINGS,NH FOODS,M3,DENA,SAPPORO HOLDINGS,ASAHI GROUP HOLDINGS,KIRIN HOLDINGS,TAKARA HOLDINGS,SOJITZ,KIKKOMAN,AJINOMOTO,NICHIREI,JAPAN TOBACCO,J.FRONT RETAILING,ISETAN MITSUKOSHI HOLDINGS,TOYOBO,UNITIKA,TOKYU FUDOSAN HOLDINGS,SEVEN & I HOLDINGS,TEIJIN,TORAY INDUSTRIES,KURARAY,ASAHI KASEI,SUMCO,NEXON,OJI HOLDINGS,NIPPON PAPER INDUSTRIES,SHOWA DENKO,SUMITOMO CHEMICAL,NISSAN CHEMICAL,TOSOH,TOKUYAMA,DENKA,SHIN-ETSU CHEMICAL,KYOWA KIRIN,MITSUI CHEMICALS,MITSUBISHI CHEMICAL HOLDINGS,UBE,DENTSU GROUP,KAO,TAKEDA PHARMACEUTICAL,ASTELLAS PHARMA,SUMITOMO PHARMA,SHIONOGI,CHUGAI PHARMACEUTICAL,EISAI,TERUMO,DAIICHI SANKYO,OTSUKA HOLDINGS,DIC,Z HOLDINGS,TREND MICRO,CYBERAGENT,RAKUTEN GROUP,FUJIFILM HOLDINGS,KONICA MINOLTA,SHISEIDO,IDEMITSU KOSAN,ENEOS HOLDINGS,YOKOHAMA RUBBER,BRIDGESTONE,AGC,NIPPON SHEET GLASS,NIPPON ELECTRIC GLASS,SUMITOMO OSAKA CEMENT,TAIHEIYO CEMENT,TOKAI CARBON,TOTO,NGK INSULATORS,NIPPON STEEL,KOBE STEEL,JFE HOLDINGS,PACIFIC METALS,JAPAN STEEL WORKS,NIPPON LIGHT METAL HOLDINGS,MITSUI MINING & SMELTING,TOHO ZINC,MITSUBISHI MATERIALS,SUMITOMO METAL MINING,DOWA HOLDINGS,FURUKAWA ELECTRIC,SUMITOMO ELECTRIC INDUSTRIES,FUJIKURA,RECRUIT HOLDINGS,OKUMA,AMADA,JAPAN POST HOLDINGS,KOMATSU,SUMITOMO HEAVY INDUSTRIES,HITACHI CONSTRUCTION MACHINERY,KUBOTA,EBARA,DAIKIN INDUSTRIES,NSK,NTN,JTEKT,MINEBEA MITSUMI,HITACHI,MITSUBISHI ELECTRIC,FUJI ELECTRIC,YASKAWA ELECTRIC,OMRON,GS YUASA,NEC,FUJITSU,OKI ELECTRIC INDUSTRY,SEIKO EPSON,PANASONIC HOLDINGS,SHARP,SONY GROUP,TDK,ALPS ALPINE,YOKOGAWA ELECTRIC,ADVANTEST,KEYENCE,DENSO,CASIO COMPUTER,FANUC,KYOCERA,TAIYO YUDEN,MURATA MANUFACTURING,NITTO DENKO,MITSUI E&S HOLDINGS,HITACHI ZOSEN,MITSUBISHI HEAVY INDUSTRIES,KAWASAKI HEAVY INDUSTRIES,IHI,CONCORDIA FINANCIAL GROUP,NISSAN MOTOR,ISUZU MOTORS,TOYOTA MOTOR,HINO MOTORS,MITSUBISHI MOTORS,MAZDA MOTOR,HONDA MOTOR,SUZUKI MOTOR,SUBARU,YAMAHA MOTOR,NIKON,OLYMPUS,SCREEN HOLDINGS,CANON,RICOH,CITIZEN WATCH,BANDAI NAMCO HOLDINGS,TOPPAN,DAI NIPPON PRINTING,YAMAHA,NINTENDO,ITOCHU,MARUBENI,TOYOTA TSUSHO,MITSUI,TOKYO ELECTRON,SUMITOMO,MITSUBISHI,TAKASHIMAYA,MARUI GROUP,CREDIT SAISON,AEON,AOZORA BANK,MITSUBISHI UFJ FINANCIAL GROUP,RESONA HOLDINGS,SUMITOMO MITSUI TRUST HOLDINGS,SUMITOMO MITSUI FINANCIAL GROU,CHIBA BANK,FUKUOKA FINANCIAL GROUP,SHIZUOKA BANK,MIZUHO FINANCIAL GROUP,ORIX,DAIWA SECURITIES GROUP,NOMURA HOLDINGS,MATSUI SECURITIES,SOMPO HOLDINGS,JAPAN EXCHANGE GROUP,MS&AD INSURANCE GROUP HOLDINGS,DAI-ICHI LIFE HOLDINGS,TOKIO MARINE HOLDINGS,T&D HOLDINGS,MITSUI FUDOSAN,MITSUBISHI ESTATE,TOKYO TATEMONO,SUMITOMO REALTY & DEVELOPMENT,TOBU RAILWAY,TOKYU,ODAKYU ELECTRIC RAILWAY,KEIO,KEISEI ELECTRIC RAILWAY,EAST JAPAN RAILWAY,WEST JAPAN RAILWAY,CENTRAL JAPAN RAILWAY,YAMATO HOLDINGS,NIPPON YUSEN,MITSUI O.S.K. LINES,KAWASAKI KISEN,ANA HOLDINGS,MITSUBISHI LOGISTICS,NIPPON TELEGRAPH & TELEPHONE,KDDI,TOKYO ELECTRIC POWER COMPANY H,CHUBU ELECTRIC POWER,KANSAI ELECTRIC POWER,TOKYO GAS,OSAKA GAS,TOHO,NTT DATA,SECOM,KONAMI HOLDINGS,FAST RETAILING,SOFTBANK GROUP
2014/07/01,DAILY(D),282.01,1455.18,1306.79,1570.65,2352.48,601.08,609.39,617.63,741.88,1693.23,1041.82,2780.96,970.5,3047.79,3451.23,802.81,1233.51,1807.66,2787.98,1223.17,787.03,662.76,2022.34,1426.13,862.84,2548.04,1195.57,1215.48,1430.45,480,682.27,3703.77,1014.94,597.34,1057.1,639.82,844.88,484.25,357.97,1563.04,1143.6,302.75,1404.63,791.74,1481.62,1522.8,5500.45,1244.99,1124.06,347.87,1380.49,3600.37,3597.59,3445.36,1129.88,1043.81,1866.05,879.85,3547.9,1068.81,537.66,2639.53,2061.86,416.53,2730.66,495.69,1301.16,2548.7,752.87,1766.5,1734.3,401.7,1405.92,2823.65,2424.82,1313.16,2277.72,3195.61,3483.38,245.42,2417.71,1954.77,2737.21,1378.87,1680.22,4784.9,1983.75,1186.76,2429.19,3410.81,2945.59,2767.22,3920.54,1807.77,1187.52,445.78,,4292.36,804.16,,1898.63,2019.01,1720.86,1255.09,2792.2,6156.11,1057.11,377.29,1420.89,1022.48,3205.95,1078.98,2125.31,1123.94,3864.79,2761.71,2978.87,6770.91,1753.48,1673.84,1049.4,2957.46,1635.15,1400.28,1192.99,1139.76,1123.59,11137.22,4000.84,1215.33,15641.18,4171.31,1012.65,2852.8,3946.5,2169.64,441.77,5219.34,3328.25,4168.11,,762.22,1120.84,985.58,1170.42,973.43,2052.18,2806.91,2930.01,2160.13,1426.35,1330.09,859.24,2189.05,2363.09,994.73,659.4,2076.87,1343.08,1732.19,1455.3,10800.37,994.6,545.6,2381.74,1196.92,5666.3,978.29,1617.73,1724.76,848.82,1687.37,1094.16,2289.62,475.51,436.44,3520.57,3055.61,598.83,1902.36,937.18,1479.08,1280.3,654.99,546.72,708.7,2175.36,1042.01,1862.97,1220.24,2612.03,1127.04,3035.87,2306.31,1609.62,4101.6,2458.46,1328.88,1842.44,3740.77,1935.86,7192.67,3848.87,13811.19,1886.98,2289.29,1003.14,1951.28,2167.21,2704.17,1239.67,1630.28,424,1036.82,783.72,2500.41,1776.67,2187.06,706.14,5400.49,2033.46,31277.7,3595.97
2014/07/02,DAILY(D),283.82,1468.63,1288.55,1546.52,2327.54,590.33,600.18,615.38,738.61,1680.6,1045.53,2763.97,960.14,3079.03,3500.95,804.76,1237.97,1798.8,2808.08,1237.43,772.05,662.76,2040.29,1443.18,866.4,2541.85,1195.57,1219.16,1422.28,480,684.81,3741.9,1006.89,598.21,1054.71,646.35,811.68,494.06,359.66,1546.99,1127.83,306.67,1409.91,788.55,1446.35,1526.67,5475.95,1253.03,1132.12,348.65,1388.24,3652.11,3633.98,3457.76,1136.57,1042.92,1871.39,880.46,3572.14,1073.94,537.95,2665.6,2053.99,414.81,2751.04,499.81,1329.19,2524.93,749.15,1767.44,1785.91,406.09,1415.53,2924.61,2404.85,1313.16,2293,3121.86,3457.96,245.42,2391.59,1950.58,2737.21,1405.73,1697.64,4794.07,1988.16,1209.88,2429.19,3462.62,3003.34,2802.4,3924.69,1858.45,1183.46,444.01,,4244.62,799.59,,1880.15,2019.01,1738.6,1250.74,2830.69,6216.93,1054.01,385.67,1445.41,1019.79,3193.13,1079.81,2150.97,1148.55,3837.98,2800.01,3101.89,6788.66,1738.37,1693.06,1040.14,2993.41,1650.5,1397.34,1184.92,1154.7,1124.48,10960.25,3957.23,1218.62,15628.05,4211.64,1013.56,2886.74,3963.07,2122.88,445.96,5227.4,3336.78,4159.33,,771.63,1114.32,991.97,1185.15,971.7,2073.55,2812.45,3073.12,2189.8,1449.74,1326.77,855.66,2202.67,2364.51,980.03,655.28,2084.58,1341.39,1733.81,1451.71,10998.26,1008.24,547.07,2354.24,1206.39,5693.27,975.47,1607.21,1717.73,839.52,1719.27,1104.64,2310.07,480.05,448.85,3513.03,3070.56,602.94,1913.86,947.18,1486.22,1278.05,658.69,552.76,703.9,2195.08,1049.7,1848.61,1226.62,2611.25,1116.72,3058.95,2298.14,1596.05,4095.98,2467.72,1339.92,1849.97,3731.42,1941.65,7238.28,3835.97,13716.65,1895.08,2335.85,1021.67,1969.6,2167.21,2705.95,1252.92,1635.48,425,1035.18,783.72,2517.28,1784.97,2209.88,711.57,5445.46,2049.7,31165.51,3623.53
2014/07/03,DAILY(D),289.24,1468.63,1305.96,1539.86,2315.07,586.19,596,615.38,725.57,1675.86,1041.82,2747.88,956.95,3110.26,3487.24,809.15,1212.09,1794.37,2805.46,1235.75,785.27,659.08,2034.62,1455.74,850.39,2549.42,1165.68,1195.24,1422.28,490,683.12,3691.91,1002.86,594.73,1055.51,642.26,813.43,495.53,356.28,1535.75,1135.72,304.32,1446,777.35,1433.12,1503.48,5409.46,1244.1,1136.15,349.43,1372.73,3626.24,3633.09,3435.87,1135.73,1045.6,1856.25,873.81,3548.73,1076.75,537.38,2669.8,2014.64,413.09,2726.59,480.97,1316.63,2529.33,767.73,1770.28,1763.23,392.92,1407.52,2896.44,2408.84,1313.16,2273.89,3113.67,3415.58,245.42,2402.04,1962.31,2703.62,1405.73,1685.76,4995.73,2005.79,1209.88,2437.45,3488.53,3052.85,2844.28,3995.37,1883.8,1177.78,444.01,,4227.26,796.55,,1861.67,2027.27,1741.14,1244.66,2834.96,6270.38,1045.46,388.19,1438.05,1040.44,3210.23,1070.69,2159.52,1181.37,3869.26,2893.63,3137.04,6850.77,1723.25,1706.51,1046.87,2993.41,1626.52,1404.69,1227.95,1152.94,1133.34,10773.51,3925.97,1222.74,15457.37,4218.5,1033.74,2910.93,4000.34,2066.77,445.96,5283.87,3422.12,4168.11,,770.06,1102.92,985.42,1213.77,972.56,2082.11,2796.63,3076.74,2208.81,1429.58,1322.62,861.63,2211.75,2350.27,971.86,645.39,2045.15,1334.61,1724.09,1445.43,11226.93,1009.75,547.81,2314.59,1207.85,5698.17,979,1612.47,1700.17,814.16,1737.27,1093.28,2303.25,475.51,442.28,3520.57,3050.63,605.41,1906.19,938.85,1471.93,1275.79,654.25,548.98,692.26,2176.15,1039.98,1850.88,1198.69,2605.81,1104.81,3046.52,2298.14,1594.35,4081.01,2463.09,1339.92,1838.68,3731.42,1928.15,7237.39,3834.25,13839.55,1880.68,2328.09,1019.02,1969.6,2158.18,2682.82,1254.09,1632.88,434,1040.93,826.43,2508.84,1789.12,2204.41,710.67,5381.46,2031.65,31202.91,3630.18
2014/07/04,DAILY(D),289.24,1470.43,1286.06,1548.18,2277.67,584.54,589.3,614.62,715.79,1690.07,1046.27,2762.18,960.94,3119.19,3475.23,805.74,1222.8,1798.8,2824.69,1233.23,795.84,666.44,2021.4,1465.62,853.94,2535.65,1173.99,1186.04,1430.45,490,685.65,3767.31,1006.89,597.34,1056.31,643.9,830.9,496.51,359.66,1544.58,1143.6,307.46,1473.28,783.75,1459.57,1515.07,5428.71,1252.14,1140.17,351.76,1380.49,3647.8,3656.16,3444.63,1135.73,1046.49,1857.14,865.34,3548.73,1091.69,539.66,2689.14,2022.51,411.37,2767.35,483.92,1336.93,2553.98,768.48,1775.01,1746.03,390,1410.73,2914.44,2428.81,1340.71,2308.29,3121.86,3432.53,247.95,2405.52,1971.53,2737.21,1441.55,1695.26,5050.73,2010.2,1225.29,2470.5,3583.51,3143.61,2901.23,4061.89,1875.35,1193.2,453.7,,4248.96,794.27,,1876.13,2035.52,1748.74,1253.35,2873.45,6329.37,1066.43,392.38,1452.76,1093.4,3312.82,1069.86,2180.9,1200.51,3896.06,2889.37,3172.19,6904.02,1730.81,1704.59,1056.13,3020.38,1649.54,1425.26,1262.9,1147.67,1131.57,10818.67,3953.12,1226.03,15514.26,4235.66,1042,2914.77,4001.99,2038.72,465.24,5316.14,3447.72,4168.11,,777.12,1127.36,990.69,1208.87,991.53,2107.76,2824.32,3074.93,2235.43,1494.89,1337.56,880.72,2316.21,2349.56,967.78,643.74,2043.44,1334.61,1719.24,1438.25,11262.11,1015.81,548.55,2372.03,1211.5,5831.41,982.53,1623.74,1707.19,824.31,1784.71,1095.91,2310.07,476.27,446.66,3558.27,3076.97,610.34,1933.04,951.34,1471.93,1280.3,663.88,548.98,702.53,2150.13,1042.41,1831.98,1180.34,2604.25,1114.34,3075.82,2286.34,1596.05,4116.57,2472.35,1350.97,1838.68,3750.12,1957.07,7294.62,3872.08,13976.62,1895.08,2343.61,1026.96,1997.08,2158.18,2709.51,1266.95,1640.17,430,1046.67,833.83,2496.19,1789.12,2215.36,710.67,5394.43,2041.58,31244.98,3640.63
2014/07/07,DAILY(D),284.72,1473.12,1261.18,1545.69,2290.13,584.54,587.63,604.09,714.16,1709.8,1044.79,2755.03,958.55,3087.95,3500.95,799.88,1224.58,1869.69,2857.9,1234.91,790.55,655.4,2014.79,1436.9,850.39,2531.53,1165.68,1179.59,1430.45,490,679.74,3749.52,1006.89,591.24,1055.51,640.63,826.53,497.98,357.12,1529.32,1151.49,306.67,1458.32,766.15,1468.39,1503.48,5413.84,1241.42,1116,349.43,1388.24,3608.99,3594.04,3419.09,1123.2,1043.81,1865.16,858.38,3536.19,1084.68,534.81,2698.39,2006.77,407.07,2767.35,480.97,1344.66,2536.37,764.76,1741.93,1724.14,387.8,1412.33,2902.7,2416.83,1303.98,2266.25,3105.47,3415.58,253.01,2409.01,1963.99,2728.81,1432.59,1684.97,4904.07,2071.92,1217.58,2470.5,3592.15,3094.1,2877.78,4066.05,1850.01,1195.63,451.94,,4222.92,781.34,,1886.57,2014.88,1738.6,1253.35,2817.86,6261.17,1053.23,388.19,1457.66,1077.24,3291.45,1063.22,2185.18,1193.22,3846.92,2880.86,3128.25,6850.77,1685.46,1689.22,1048.56,3020.38,1659.13,1422.32,1282.62,1147.67,1115.62,10752.76,3909.52,1203.8,15479.25,4209.06,1032.82,2894.11,4001.99,2038.72,466.08,5324.21,3490.39,4133.01,,773.98,1127.36,985.74,1199.87,985.5,2133.41,2829.86,3075.84,2216.42,1477.96,1332.58,879.53,2279.88,2349.56,975.95,647.04,2078.58,1334.61,1733.81,1428.37,11310.49,993.84,550.03,2341.29,1202.02,5802.8,979,1610.22,1694.9,827.69,1751.17,1039.97,2303.25,472.49,440.82,3573.34,3057.75,606.23,1921.53,951.34,1464.79,1276.54,664.62,552,697.74,2144.61,1018.53,1828.96,1190.71,2594.91,1121.48,3033.2,2287.25,1575.7,4098.79,2463.09,1343.6,1844.33,3750.12,1947.43,7299.09,3899.6,13943.53,1894.18,2328.09,1026.96,2015.4,2158.18,2713.07,1250.78,1629.24,432,1054.88,834.65,2491.98,1784.97,2204.41,710.67,5363.3,2054.21,31394.56,3628.28
2014/07/08,DAILY(D),296.47,1466.84,1262.01,1538.2,2302.6,584.54,588.46,613.12,715.79,1710.59,1052.2,2751.46,955.36,3074.57,3459.8,795.98,1210.3,1922.86,2862.27,1232.4,788.79,659.08,1991.17,1442.28,850.39,2529.46,1154.06,1170.39,1430.45,480,661.16,3755.45,990.78,592.98,1053.92,640.63,816.92,497.98,355.43,1526.92,1143.6,302.75,1452.16,775.75,1446.35,1499.61,5377.09,1239.63,1103.91,350.99,1380.49,3570.18,3623.33,3417.63,1130.72,1043.81,1886.52,861.1,3533.69,1069.74,535.1,2709.32,2014.64,403.63,2771.42,486.27,1333.06,2524.05,758.07,1745.71,1697.55,389.26,1397.9,2865.13,2412.84,1313.16,2262.43,3072.7,3407.11,253.85,2386.36,1987.46,2661.64,1423.64,1669.13,4839.9,2032.24,1217.58,2495.29,3738.94,3085.85,2926.36,4095.15,1850.01,1206.98,455.47,,4170.84,784.38,,1874.52,1994.24,1717.48,1235.98,2813.58,6240.89,1063.33,390.7,1459.3,1083.53,3278.62,1066.54,2193.73,1180.46,3815.64,2897.88,3137.04,6868.52,1700.58,1714.2,1043.51,3011.39,1647.62,1444.36,1290.69,1139.76,1086.38,10679.53,3888.95,1293.55,15435.49,4179.89,1020.9,2891.75,3942.36,2029.36,467.76,5308.07,3473.32,4106.68,,775.55,1117.58,979.51,1180.24,970.84,2167.61,2828.27,3043.23,2210.33,1456.19,1315.98,872.37,2239,2352.41,971.05,652.81,2072.58,1336.3,1733.81,1441.84,11121.39,992.33,548.55,2335.63,1203.48,5885.36,969.81,1607.21,1693.14,809.09,1732.36,1031.23,2296.44,472.49,444.47,3528.11,3042.8,600.47,1910.03,944.68,1457.64,1248.78,653.51,540.68,688.84,2102.04,1002.74,1773.79,1172.36,2519.41,1087.35,3010.12,2267.28,1572.3,4051.07,2449.2,1343.6,1834.92,3754.8,1945.51,7279.42,3910.78,13990.8,1873.48,2304.81,1013.72,2024.56,2167.21,2700.61,1269.29,1619.61,425,1038.46,823.15,2504.63,1776.67,2209.88,697.99,5380.6,2032.55,31057.99,3581.24
2014/07/09,DAILY(D),293.76,1463.25,1247.92,1529.05,2302.6,573.79,582.6,599.58,709.27,1687.7,1039.6,2774.7,961.74,3110.26,3514.67,794.51,1198.7,1922.86,2873.63,1239.1,785.27,644.35,2000.62,1424.33,846.83,2554.92,1145.76,1162.11,1430.45,460,683.12,3749.52,986.75,599.09,1054.71,638.18,842.26,486.7,352.89,1509.25,1135.72,301.97,1461.84,772.55,1450.76,1495.75,5360.47,1244.99,1087.8,347.1,1364.98,3561.56,3683.67,3413.26,1129.88,1049.17,1898.1,864.43,3532.01,1063.67,534.81,2688.3,1975.29,399.32,2791.8,472.14,1322.43,2537.25,749.15,1750.43,1701.46,392.19,1397.9,2911.31,2368.89,1294.79,2247.14,3048.12,3415.58,257.22,2395.07,1969.02,2611.26,1396.78,1659.63,4803.24,1992.57,1209.88,2478.76,3738.94,3110.6,2907.93,4103.47,1850.01,1221.59,452.82,,4123.1,779.05,,1891.39,1969.46,1719.17,1233.37,2796.48,6215.09,1056.34,384.84,1451.13,1070.06,3287.17,1064.88,2172.35,1165.87,3793.3,2910.65,3110.68,6868.52,1670.34,1693.06,1032.57,2966.44,1627.48,1429.67,1270.97,1124.82,1085.49,10609.96,3876.61,1282.02,15457.37,4156.73,1019.07,2866.38,3915.03,2001.31,458.54,5348.41,3447.72,4089.13,,766.92,1107.81,968.48,1172.06,958.77,2150.51,2844.1,3024.21,2219.46,1448.93,1313.49,872.37,2257.17,2353.83,958.8,656.11,2050.3,1339.69,1741.9,1440.04,11112.6,994.6,547.81,2344.53,1209.31,5873.92,966.28,1594.44,1686.12,802.32,1727.45,1025.99,2303.25,465.68,436.44,3460.26,3010.06,596.36,1910.03,941.35,1450.5,1242.02,643.88,527.09,683.36,2110.71,997.48,1796.46,1149.21,2526.42,1075.45,3004.79,2268.19,1579.09,4056.69,2449.2,1338.08,1834.92,3717.39,1935.86,7299.99,3908.2,14009.7,1876.18,2281.53,1000.49,2006.24,2203.33,2695.28,1276.12,1625.07,418,1026.15,821.51,2496.19,1789.12,2200.75,698.9,5361.57,2045.19,31076.69,3598.35
2014/07/10,DAILY(D),290.15,1445.31,1241.28,1524.89,2277.67,568.83,570.05,583.78,701.11,1680.6,1021.06,2760.4,967.31,3083.49,3542.1,778.41,1185.31,1896.27,2854.41,1229.04,783.5,640.67,2020.45,1418.95,846.83,2545.98,1132.47,1151.07,1397.76,470,682.27,3692.76,982.72,592.98,1043.57,631.66,837.89,486.7,348.66,1490.79,1127.83,297.26,1461.84,759.76,1424.3,1488.02,5298.35,1247.67,1079.74,344.76,1341.71,3544.31,3654.39,3396.47,1119.02,1018.79,1898.1,861.1,3506.94,1057.14,529.11,2679.89,1943.82,390.72,2799.95,460.96,1296.33,2539.9,749.15,1745.71,1706.15,388.53,1381.87,2897.22,2372.89,1276.43,2201.28,3064.5,3364.73,251.32,2335.85,1957.28,2594.47,1405.73,1650.13,4812.4,1944.08,1217.58,2487.03,3842.56,3052.85,2874.43,4061.89,1824.66,1207.8,450.18,,4118.76,767.64,,1856.04,1973.59,1696.36,1209.92,2775.1,6160.72,1038.47,389.03,1429.06,1058.39,3265.8,1056.59,2163.79,1154.02,3793.3,2919.16,3119.47,6797.53,1632.55,1656.55,1028.36,2921.5,1618.85,1410.56,1272.76,1119.55,1067.77,10590.43,3851.93,1298.49,15439.86,4137.86,1012.65,2806.48,3902.61,1954.55,450.99,5235.47,3387.98,4133.01,,763,1104.55,959.06,1159.79,951.87,2120.58,2826.69,2965.34,2191.32,1453.77,1298.54,864.01,2207.21,2321.79,951.45,655.28,2010.01,1326.14,1741.9,1434.66,10949.89,985.51,543.38,2332.39,1188.9,5876.37,955.69,1589.93,1663.28,794.72,1717.64,1009.39,2289.62,457.37,429.87,3415.03,2955.26,601.3,1902.36,943.01,1436.21,1238.27,632.76,510.47,674.46,2098.09,988.57,1780.59,1139.64,2524.08,1057.19,3003.01,2263.65,1580.78,4036.11,2426.05,1338.08,1829.27,3722.06,1939.72,7250.8,3891,13981.35,1851.88,2266.01,984.61,1969.6,2203.33,2689.94,1254.67,1608.68,410,1019.58,811.65,2491.98,1780.82,2184.32,688.94,5370.22,2052.41,31324.45,3557.01
2014/07/11,DAILY(D),289.24,1438.13,1263.67,1549.85,2319.23,576.27,583.44,591.3,714.16,1664.81,1012.16,2722.85,978.47,3074.57,3701.55,773.53,1186.2,1909.56,2844.79,1221.5,788.79,644.35,2034.62,1413.56,841.49,2559.05,1127.49,1145.55,1381.41,460,666.23,3676.66,990.78,591.24,1035.61,631.66,836.15,456.81,350.35,1494.8,1127.83,295.69,1464.48,740.56,1415.48,1480.29,5314.97,1247.67,1075.71,339.31,1333.95,3505.51,3720.06,3402.31,1127.38,1024.15,1947.06,860.8,3522.82,1042.19,529.96,2691.66,1928.08,383.83,2873.31,463.31,1283.76,2523.17,746.18,1761.77,1703.81,389.26,1385.08,2887.83,2344.92,1248.88,2231.86,3072.7,3313.88,250.48,2309.72,1966.5,2560.89,1387.83,1640.63,4803.24,1930.85,1202.17,2536.6,3877.1,3052.85,2886.15,4041.1,1816.22,1198.87,452.82,,4049.32,760.03,,1849.61,1965.33,1687.91,1201.24,2732.34,6173.62,1040.02,384,1421.71,1061.98,3218.78,1052.44,2159.52,1141.26,3766.49,2931.93,3128.25,6762.03,1625,1666.16,1021.63,2876.55,1605.42,1388.52,1273.66,1110.76,1066.88,10531.84,3841.23,1296.84,15164.15,4123.27,1008.06,2819.16,3903.43,1907.79,443.45,5170.94,3362.38,4133.01,,761.43,1099.66,955.54,1156.52,971.7,2103.48,2780.81,2969.87,2184.47,1434.42,1282.77,865.21,2189.05,2376.62,946.55,656.93,2004.01,1331.22,1724.09,1437.35,10778.38,980.97,538.21,2352.62,1185.98,5807.71,951.45,1577.91,1650.99,796.41,1704.55,1012.88,2282.81,452.83,429.14,3369.8,2931.06,596.36,1902.36,936.35,1436.21,1207.5,628.32,504.43,669.67,2081.54,964.69,1762.45,1115.69,2508.52,1050.05,2987.03,2251.85,1545.17,4022.07,2435.31,1343.6,1846.21,3764.15,1976.36,7205.19,3942.59,14019.16,1868.98,2227.21,976.67,1942.11,2212.36,2725.52,1276.7,1614.67,407,998.24,791.93,2479.33,1772.52,2177.02,681.7,5369.36,2029.85,30716.75,3554.16
